"CallFailure","Complains","SubscriptionLength","ChargeAmount","SecondsofUse","Frequencyofuse","FrequencyofSMS","DistinctCalledNumbers","AgeGroup","TariffPlan","Status","Age","CustomerValue","Churn"
8,"No Complains",38,0,4370,71,5,17,"30-45","Pay as you go","active",30,197.64,"non-CHURN"
0,"No Complains",39,0,318,5,7,4,"15-30","Pay as you go","non-active",25,46.035,"non-CHURN"
10,"No Complains",37,0,2453,60,359,24,"30-45","Pay as you go","active",30,1536.52,"non-CHURN"
10,"No Complains",38,0,4198,66,1,35,"<15","Pay as you go","active",15,240.02,"non-CHURN"
3,"No Complains",38,0,2393,58,2,33,"<15","Pay as you go","active",15,145.805,"non-CHURN"
11,"No Complains",38,1,3775,82,32,28,"30-45","Pay as you go","active",30,282.28,"non-CHURN"
4,"No Complains",38,0,2360,39,285,18,"30-45","Pay as you go","active",30,1235.96,"non-CHURN"
13,"No Complains",37,2,9115,121,144,43,"30-45","Pay as you go","active",30,945.44,"non-CHURN"
7,"No Complains",38,0,13773,169,0,44,"30-45","Pay as you go","active",30,557.68,"non-CHURN"
7,"No Complains",38,1,4515,83,2,25,"30-45","Pay as you go","active",30,191.92,"non-CHURN"
6,"No Complains",38,0,5918,95,7,12,"30-45","Pay as you go","active",30,268.52,"non-CHURN"
9,"No Complains",38,0,2238,54,8,17,"30-45","Pay as you go","non-active",30,123.68,"non-CHURN"
25,"No Complains",38,3,15140,225,54,32,"30-45","Pay as you go","active",30,830.6,"non-CHURN"
4,"No Complains",38,1,3095,27,483,8,"30-45","Pay as you go","active",30,2056.88,"non-CHURN"
9,"No Complains",37,0,15485,182,150,30,"15-30","Pay as you go","active",25,1380.015,"non-CHURN"
3,"No Complains",37,1,6500,86,186,26,"30-45","Pay as you go","active",30,1007.44,"non-CHURN"
0,"No Complains",37,0,875,14,0,11,"15-30","Pay as you go","non-active",25,40.005,"CHURN"
2,"No Complains",38,0,710,14,13,8,"30-45","Pay as you go","non-active",30,80.96,"non-CHURN"
0,"No Complains",37,0,0,0,0,0,"15-30","Pay as you go","non-active",25,0,"CHURN"
3,"No Complains",37,0,7508,127,384,43,"15-30","Pay as you go","active",25,2071.575,"non-CHURN"
7,"No Complains",37,1,11465,154,11,47,"45-60","Pay as you go","active",45,317.975,"non-CHURN"
8,"No Complains",37,1,6718,75,108,37,"15-30","Pay as you go","active",25,791.685,"non-CHURN"
23,"Complains",33,0,955,47,16,17,"15-30","Pay as you go","non-active",25,117.09,"CHURN"
21,"Complains",36,8,10435,93,1,42,"60-75","contractual","active",55,159.42,"non-CHURN"
13,"Complains",36,1,5818,98,26,24,"15-30","Pay as you go","active",25,383.22,"CHURN"
1,"No Complains",34,0,2840,22,0,14,"30-45","Pay as you go","active",30,114.48,"non-CHURN"
9,"No Complains",35,0,2990,41,9,16,"30-45","Pay as you go","non-active",30,157.24,"CHURN"
9,"Complains",36,0,2268,44,34,31,"30-45","Pay as you go","non-active",30,228.48,"CHURN"
