"CallFailure","Complains","SubscriptionLength","ChargeAmount","SecondsofUse","Frequencyofuse","FrequencyofSMS","DistinctCalledNumbers","AgeGroup","TariffPlan","Status","Age","CustomerValue","Churn"
10,"No Complains",39,2,11580,159,9,46,"45-60","Pay as you go","active",45,315.975,"non-CHURN"
2,"No Complains",39,0,508,6,16,7,"15-30","Pay as you go","non-active",25,95.13,"non-CHURN"
2,"No Complains",9,1,4390,40,215,10,"30-45","Pay as you go","active",30,1037.2,"non-CHURN"
25,"No Complains",19,4,7298,157,113,59,"15-30","contractual","active",25,843.975,"non-CHURN"
21,"No Complains",18,1,6583,141,60,40,"<15","contractual","active",15,699.82,"non-CHURN"
30,"Complains",40,0,1260,59,31,20,"30-45","Pay as you go","non-active",30,176.76,"CHURN"
11,"No Complains",27,0,700,25,10,7,"15-30","Pay as you go","non-active",25,77.625,"non-CHURN"
2,"No Complains",29,0,1005,18,32,8,"45-60","Pay as you go","non-active",45,105.575,"non-CHURN"
4,"No Complains",31,0,2780,47,167,22,"15-30","Pay as you go","active",25,878.715,"non-CHURN"
0,"No Complains",30,0,0,0,0,0,"30-45","Pay as you go","active",30,0,"non-CHURN"
5,"No Complains",33,1,7030,100,16,22,"60-75","Pay as you go","active",55,130.95,"non-CHURN"
7,"Complains",36,0,2023,41,32,31,"30-45","Pay as you go","active",30,210.56,"CHURN"
1,"No Complains",36,0,5613,89,0,10,"15-30","Pay as you go","active",25,256.59,"non-CHURN"
14,"No Complains",31,7,9950,79,0,35,"45-60","Pay as you go","active",45,250.725,"non-CHURN"
3,"No Complains",8,1,4795,45,216,8,"30-45","Pay as you go","active",30,1057.6,"non-CHURN"
7,"No Complains",41,0,1130,26,52,14,"30-45","Pay as you go","non-active",30,254.24,"non-CHURN"
3,"No Complains",38,0,2393,58,2,33,"<15","Pay as you go","active",15,145.805,"non-CHURN"
11,"No Complains",44,1,6178,105,22,18,"30-45","Pay as you go","active",30,339.32,"non-CHURN"
16,"No Complains",34,7,10130,87,0,40,"45-60","Pay as you go","active",45,255.425,"non-CHURN"
17,"No Complains",18,2,9353,183,112,46,"60-75","Pay as you go","active",55,311.04,"non-CHURN"
11,"No Complains",23,0,745,21,7,3,"15-30","Pay as you go","non-active",25,65.97,"non-CHURN"
14,"No Complains",36,1,4423,70,7,33,"15-30","Pay as you go","active",25,233.685,"non-CHURN"
23,"No Complains",39,8,10615,101,12,47,"60-75","Pay as you go","active",55,178.74,"non-CHURN"
26,"No Complains",42,9,10695,103,16,48,"60-75","contractual","active",55,185.97,"non-CHURN"
11,"No Complains",40,0,1015,17,15,2,"30-45","Pay as you go","non-active",30,101.28,"CHURN"
2,"No Complains",36,0,3718,82,2,28,"15-30","Pay as you go","active",25,180,"non-CHURN"
0,"No Complains",40,0,433,11,39,8,"30-45","Pay as you go","non-active",30,173.76,"non-CHURN"
4,"No Complains",35,0,8210,105,116,26,"30-45","Pay as you go","active",30,796.6,"non-CHURN"
11,"No Complains",38,1,3775,82,32,28,"30-45","Pay as you go","active",30,282.28,"non-CHURN"
6,"No Complains",14,0,8222,160,48,40,"45-60","Pay as you go","active",45,329.55,"non-CHURN"
0,"No Complains",23,0,2920,55,1,21,"30-45","Pay as you go","active",30,123,"non-CHURN"
3,"No Complains",41,0,7463,131,392,47,"15-30","Pay as you go","active",25,2105.73,"non-CHURN"
20,"No Complains",36,2,14835,219,47,30,"30-45","Pay as you go","active",30,790.16,"non-CHURN"
19,"Complains",44,0,2833,60,56,39,"45-60","Pay as you go","non-active",45,212.325,"CHURN"
7,"No Complains",27,0,100,15,0,3,"15-30","Pay as you go","non-active",25,5.175,"non-CHURN"
17,"No Complains",44,2,2758,72,374,27,"30-45","Pay as you go","active",30,1609.2,"non-CHURN"
0,"No Complains",34,0,2028,49,0,29,"<15","Pay as you go","active",15,114.235,"non-CHURN"
8,"No Complains",38,0,2085,56,77,26,"45-60","Pay as you go","non-active",45,246.025,"non-CHURN"
5,"No Complains",36,0,4310,68,0,15,"15-30","Pay as you go","active",25,197.01,"non-CHURN"
5,"No Complains",27,0,1015,10,7,2,"45-60","Pay as you go","non-active",45,43.125,"non-CHURN"
3,"No Complains",34,0,6298,63,69,31,"15-30","Pay as you go","active",25,596.745,"non-CHURN"
3,"No Complains",34,0,2720,50,170,21,"15-30","Pay as you go","active",25,889.65,"non-CHURN"
0,"No Complains",31,0,6480,91,7,20,"45-60","Pay as you go","active",45,181.775,"non-CHURN"
27,"Complains",31,0,1180,51,13,15,"30-45","Pay as you go","non-active",30,101.24,"CHURN"
6,"No Complains",38,1,3340,30,485,8,"30-45","Pay as you go","active",30,2074.8,"non-CHURN"
5,"No Complains",33,1,7553,123,376,39,"15-30","Pay as you go","active",25,2037.42,"non-CHURN"
7,"Complains",38,4,7045,118,281,37,"15-30","contractual","active",25,1586.835,"non-CHURN"
17,"No Complains",16,1,6797,146,86,40,"<15","contractual","active",15,854.865,"non-CHURN"
2,"No Complains",31,0,1585,42,28,16,"30-45","Pay as you go","non-active",30,177.08,"non-CHURN"
21,"No Complains",19,2,6697,147,92,44,"15-30","contractual","active",25,721.98,"non-CHURN"
0,"Complains",25,0,1010,30,186,9,"15-30","contractual","active",25,883.8,"CHURN"
3,"No Complains",31,0,15100,174,133,24,"15-30","Pay as you go","active",25,1285.83,"non-CHURN"
14,"No Complains",40,2,15905,194,189,36,"30-45","Pay as you go","active",30,1399.96,"non-CHURN"
0,"No Complains",34,0,6493,110,352,41,"15-30","Pay as you go","active",25,1881.135,"non-CHURN"
4,"No Complains",25,0,1453,33,0,64,"45-60","Pay as you go","active",45,37.15,"non-CHURN"
5,"No Complains",38,1,4325,82,0,22,"30-45","Pay as you go","active",30,176.28,"non-CHURN"
7,"No Complains",40,0,2148,60,360,23,"30-45","Pay as you go","active",30,1528.32,"non-CHURN"
0,"No Complains",38,0,1360,44,39,19,"30-45","Pay as you go","non-active",30,212.16,"non-CHURN"
